500,1,1,1,1,5
499,1,1,1,2,6
498,1,1,1,2,9
497,1,1,1,2,14
496,6,4,1,2,15
495,7,7,2,2,18
494,7,9,3,2,22
493,9,16,3,4,26
492,11,30,5,5,34
491,16,44,5,7,42
490,17,56,5,7,49
489,18,76,6,8,59
488,41,102,9,9,68
487,68,127,11,12,94
486,71,162,11,13,113
485,75,201,12,15,130
484,107,249,16,19,148
483,149,288,19,21,168
482,156,344,20,22,191
481,164,414,20,25,215
480,231,472,22,28,238
479,297,526,24,30,253
478,322,598,25,35,274
477,348,668,31,41,296
476,432,749,36,43,325
475,507,848,40,54,353
474,535,947,43,67,387
473,586,1055,47,74,412
472,654,1153,51,79,441
471,780,1269,57,85,474
470,837,1390,65,94,495
469,891,1516,68,102,539
468,993,1652,73,109,569
467,1166,1779,81,121,608
466,1260,1941,86,131,642
465,1350,2109,90,139,681
464,1482,2266,93,150,713
463,1690,2416,103,162,753
462,1830,2596,106,176,791
461,1933,2788,119,184,833
460,2104,2967,128,190,869
459,2304,3170,141,205,902
458,2502,3391,148,214,949
457,2665,3579,157,235,990
456,2829,3808,168,253,1045
455,3055,4047,173,269,1078
454,3243,4277,189,286,1111
453,3412,4502,196,303,1161
452,3611,4757,204,324,1220
451,3881,5004,207,345,1263
450,4109,5275,212,365,1313
449,4307,5529,225,383,1365
448,4558,5801,230,405,1409
447,4830,6086,237,428,1463
446,5099,6370,252,448,1497
445,5358,6692,259,474,1552
444,5648,6985,274,495,1605
443,5936,7304,284,523,1665
442,6203,7620,297,549,1711
441,6453,7926,309,570,1757
440,6774,8262,324,600,1811
439,7151,8629,337,633,1872
438,7487,8955,346,666,1935
437,7824,9321,359,698,1991
436,8201,9682,373,730,2048
435,8536,10071,385,764,2116
434,8904,10442,400,800,2181
433,9261,10850,421,834,2245
432,9661,11258,440,876,2308
431,10066,11687,454,918,2385
430,10504,12083,474,961,2457
429,10941,12515,489,997,2506
428,11402,12898,509,1038,2564
427,11891,13351,524,1081,2636
426,12319,13798,548,1135,2703
425,12795,14264,575,1198,2773
424,13307,14689,592,1243,2846
423,13839,15167,618,1290,2914
422,14333,15605,640,1341,2983
421,14834,16095,666,1383,3059
420,15428,16569,696,1440,3138
419,15974,17097,736,1501,3220
418,16531,17603,767,1563,3296
417,17117,18134,800,1622,3367
416,17700,18636,837,1689,3441
415,18279,19129,880,1768,3542
414,18987,19651,910,1832,3624
413,19594,20196,957,1909,3705
412,20234,20723,1010,1983,3795
411,20907,21280,1040,2055,3879
410,21602,21829,1091,2118,3982
409,22290,22375,1137,2203,4064
